,writing_quality,authenticity_and_self_awareness,mission_alignment_service_orientation,adversity_resilience,motivation_depth,intellectual_curiosity,maturity_and_reflection,has_direct_patient_care,has_volunteering,has_community_service,has_shadowing,has_clinical_experience,has_leadership,has_research,has_military_service,has_honors,direct_patient_care_depth,volunteering_depth,community_service_depth,shadowing_depth,clinical_experience_depth,leadership_depth_and_progression,research_depth_and_output,honors_significance,meaningful_vs_checkbox,personal_attributes_insight,adversity_response_quality,reflection_depth,healthcare_experience_quality,research_depth
writing_quality,1.0,0.4711068583480086,0.6940029195637694,0.7129824645558287,0.4752355108011554,0.46605334462862397,0.47278117317971385,0.7172761223838966,0.7564733046833189,0.787038546410837,0.477672277082558,0.7968419233101091,0.6432801358077438,0.6604762649236532,0.0006931069611425484,0.23254412850544556,0.6830890356214758,0.6915997483736849,0.7652683965598611,0.4255973425292524,0.7610950922096924,0.6094087597586988,0.6053856594762751,0.22462123620951888,0.4567107254686232,0.4623653076348641,0.809124404742001,0.46637897769619224,0.44697874062473564,0.2746922235382244
authenticity_and_self_awareness,0.4711068583480086,1.0,0.34034593883169295,0.4744236020625684,0.9927324850628426,0.9732641509558241,0.9979678648488234,0.1510836282227909,0.16336630005156483,0.1814719347727625,0.1019646310194844,0.17705568186820234,0.08177462682534568,0.15128848888781826,-0.02877370062681389,0.04976955435238982,0.2317088774067352,0.2577534371473328,0.30289720472912735,0.14024688301393184,0.30760844088518435,0.1303977727793245,0.17333821911203862,0.05453967480112479,0.9889636734635493,0.9855748350083796,0.538188182022397,0.9839540908553821,0.9584807380110505,0.26099168472199785
mission_alignment_service_orientation,0.6940029195637694,0.34034593883169295,1.0,0.6295309263791278,0.34067477124892254,0.3220458894456539,0.3413893391243056,0.6018407497753601,0.6428706476799838,0.6680047893568335,0.37864152367491866,0.661860975041666,0.5507280963238791,0.5311704658994975,-0.03464754589219543,0.19422869505698903,0.5471924851169796,0.6058445494643742,0.6650538966850337,0.3449485535157618,0.6049987993643203,0.5366412149483597,0.48644231411360844,0.19044285634271127,0.3327648064255845,0.3343220985251216,0.6480155149232171,0.3329091593667396,0.3268417964883501,0.2152435327514384
adversity_resilience,0.7129824645558287,0.4744236020625684,0.6295309263791278,1.0,0.463836197680859,0.44484029625614574,0.4722982701233436,0.606494657912593,0.6252847714351643,0.6553712623555581,0.36603245960509223,0.6657213715235751,0.5104783375911213,0.49962896203890766,0.046526021379292404,0.18575424874038451,0.6046170950950259,0.5567619168825427,0.620386364388757,0.3371354680080304,0.6603035109318882,0.4748561174371995,0.4282155911261638,0.19352633721706694,0.4555217006596094,0.4583967253376679,0.7239069225336369,0.4529927359488105,0.43491654629081816,0.18669676299075638
motivation_depth,0.4752355108011554,0.9927324850628426,0.34067477124892254,0.463836197680859,1.0,0.977799399386159,0.9924170740184571,0.15197815459643507,0.16299846481124283,0.18133001223672196,0.10693740985839988,0.17691461644721915,0.08682153474086506,0.15278609505066854,-0.031978145720090514,0.0549767690616852,0.23252478126230414,0.25765776744883795,0.3033449488525119,0.14709321926408436,0.30769267762293684,0.13596559793833748,0.17842413424796566,0.060649685887416295,0.9895108278143271,0.9844293053852166,0.5380299497397691,0.9837031731718214,0.9592993644474264,0.2652319138655551
intellectual_curiosity,0.46605334462862397,0.9732641509558241,0.3220458894456539,0.44484029625614574,0.977799399386159,1.0,0.9739982011390941,0.1447474813166933,0.16086329843797595,0.17637455753883707,0.11322308065050032,0.17379036982870957,0.08628877275734233,0.15185563477703753,-0.01967301103101835,0.05967981655922534,0.22430897752043807,0.2569505784232329,0.2939259162930791,0.1566711507321474,0.30565313872741073,0.1335371249124763,0.18595382548144698,0.06158120289329863,0.9777616626112553,0.9705755514149306,0.5286671372871933,0.9699664441603048,0.9449714556120699,0.2815792851594078
maturity_and_reflection,0.47278117317971385,0.9979678648488234,0.3413893391243056,0.4722982701233436,0.9924170740184571,0.9739982011390941,1.0,0.15108362822279103,0.16336630005156558,0.1814719347727628,0.10395876419323163,0.17705568186820259,0.08177462682534588,0.1525048749866892,-0.028773700626813888,0.05118705546224227,0.23267213697136632,0.25873193515855664,0.30383798715555893,0.14310581490167795,0.30859576099534386,0.13175361458505241,0.17539240136554965,0.056195112694199884,0.988963673463549,0.9860985252529356,0.5385415243368484,0.9848144039279834,0.9596123865029558,0.25875757885283096
has_direct_patient_care,0.7172761223838966,0.1510836282227909,0.6018407497753601,0.606494657912593,0.15197815459643507,0.1447474813166933,0.15108362822279103,1.0,0.8370501713141664,0.8690588864814461,0.508749065315505,0.9043055711864879,0.6902394510825758,0.6449319015830234,0.024881316069089193,0.23968703012836942,0.8998521120656788,0.6784004974603556,0.7448991961197996,0.4304342410563118,0.8162884826419899,0.6027059861156668,0.5143057054634483,0.22995499336530104,0.15435404091402893,0.15156866886467918,0.6829383030103817,0.1519554314303491,0.14911682318073924,0.18075610499614395
has_volunteering,0.7564733046833189,0.16336630005156483,0.6428706476799838,0.6252847714351643,0.16299846481124283,0.16086329843797595,0.16336630005156558,0.8370501713141664,1.0,0.9641261822982278,0.5733681731613468,0.9122480020920009,0.7457948407830426,0.6863582467528687,0.023883351967515155,0.2712814703535793,0.7568400759328162,0.8063495866837788,0.8328178410507904,0.48630829584188096,0.8032626920361802,0.6516299948233492,0.5696808075325456,0.24741927812573455,0.16754966154192102,0.1598216347799897,0.7246487662089529,0.15998756077050064,0.15376961227642108,0.18793893647860122
has_community_service,0.787038546410837,0.1814719347727625,0.6680047893568335,0.6553712623555581,0.18133001223672196,0.17637455753883707,0.1814719347727628,0.8690588864814461,0.9641261822982278,1.0,0.5697845096513106,0.9463173343425263,0.7627812788403063,0.7023817722243821,0.02302656495292528,0.273158911376381,0.7885946273095717,0.7774227486071853,0.8518426412265561,0.48347331489763323,0.8337450841684657,0.6655641650792765,0.5795269602128332,0.25250819224256854,0.18356262046830055,0.18085174737589552,0.7600030151236167,0.18062830596791724,0.1772936952160469,0.18770257063678397
has_shadowing,0.477672277082558,0.1019646310194844,0.37864152367491866,0.36603245960509223,0.10693740985839988,0.11322308065050032,0.10395876419323163,0.508749065315505,0.5733681731613468,0.5697845096513106,1.0,0.555905094868196,0.4544902131911232,0.46296484203239424,-0.03031579100949689,0.16438756533882806,0.4442388911413239,0.5180788909480992,0.533201833200537,0.8489080810782741,0.4902737924588873,0.4176850629533164,0.4015737386177236,0.16118804733229547,0.1066280612274688,0.10248475901262447,0.45607566266273425,0.10174090436307363,0.09610886863222903,0.10666644906024736
has_clinical_experience,0.7968419233101091,0.17705568186820234,0.661860975041666,0.6657213715235751,0.17691461644721915,0.17379036982870957,0.17705568186820259,0.9043055711864879,0.9122480020920009,0.9463173343425263,0.555905094868196,1.0,0.7689028974227888,0.7203276614497982,0.022500312739729245,0.2731129842808465,0.8137412781849198,0.740020100992955,0.8072031916417258,0.4716863414028255,0.8747408658730857,0.6623245306851244,0.5825498925199759,0.2563175565670841,0.17767910651624677,0.17641828614835975,0.7651713039320953,0.17620425270545126,0.17110611492132768,0.18319930819378447
